,A,B
0, E C H H C H E,0
0, E C H H C E C,3
0, E C H H C E H,0
0, E C H H C E E,24
0, E C H H H C C,7463
0, E C H H H C H,361
0, E C H H H C E,207
0, E C H H H H C,6411
0, E C H H H H H,40863
0, E C H H H H E,82
0, E C H H H E C,19
0, E C H H H E H,0
0, E C H H H E E,196
0, E C H H E C C,1
0, E C H H E C H,0
0, E C H H E C E,0
0, E C H H E H C,0
0, E C H H E H H,2
0, E C H H E H E,0
0, E C H H E E C,10
0, E C H H E E H,6
0, E C H H E E E,27
0, E C H E C C C,0
0, E C H E C C H,0
0, E C H E C C E,0
0, E C H E C H C,0
0, E C H E C H H,0
0, E C H E C H E,0
0, E C H E C E C,0
0, E C H E C E H,0
0, E C H E C E E,0
0, E C H E H C C,0
0, E C H E H C H,0
0, E C H E H C E,0
0, E C H E H H C,0
0, E C H E H H H,0
0, E C H E H H E,0
0, E C H E H E C,0
0, E C H E H E H,0
0, E C H E H E E,0
0, E C H E E C C,1
0, E C H E E C H,0
0, E C H E E C E,0
0, E C H E E H C,0
0, E C H E E H H,0
0, E C H E E H E,0
0, E C H E E E C,8
0, E C H E E E H,0
0, E C H E E E E,2
0, E C E C C C C,2494
0, E C E C C C H,224
0, E C E C C C E,149
0, E C E C C H C,21
0, E C E C C H H,198
0, E C E C C H E,0
0, E C E C C E C,26
0, E C E C C E H,1
0, E C E C C E E,378
0, E C E C H C C,5
0, E C E C H C H,0
0, E C E C H C E,0
0, E C E C H H C,10
0, E C E C H H H,199
0, E C E C H H E,0
0, E C E C H E C,0
0, E C E C H E H,0
0, E C E C H E E,0
0, E C E C E C C,47
0, E C E C E C H,11
0, E C E C E C E,6
0, E C E C E H C,0
0, E C E C E H H,2
0, E C E C E H E,0
0, E C E C E E C,43
0, E C E C E E H,0
0, E C E C E E E,282
0, E C E H C C C,4
0, E C E H C C H,0
0, E C E H C C E,0
0, E C E H C H C,0
0, E C E H C H H,0
0, E C E H C H E,0
0, E C E H C E C,0
0, E C E H C E H,0
0, E C E H C E E,0
0, E C E H H C C,11
0, E C E H H C H,0
0, E C E H H C E,0
0, E C E H H H C,58
0, E C E H H H H,252
0, E C E H H H E,0
0, E C E H H E C,0
0, E C E H H E H,0
0, E C E H H E E,0
0, E C E H E C C,0
0, E C E H E C H,0
0, E C E H E C E,0
0, E C E H E H C,0
0, E C E H E H H,0
0, E C E H E H E,0
0, E C E H E E C,0
0, E C E H E E H,0
0, E C E H E E E,4
0, E C E E C C C,2607
0, E C E E C C H,122
0, E C E E C C E,194
0, E C E E C H C,6
0, E C E E C H H,121
0, E C E E C H E,0
0, E C E E C E C,39
0, E C E E C E H,1
0, E C E E C E E,30
0, E C E E H C C,5
0, E C E E H C H,0
0, E C E E H C E,0
0, E C E E H H C,4
0, E C E E H H H,92
0, E C E E H H E,0
0, E C E E H E C,0
0, E C E E H E H,0
0, E C E E H E E,0
0, E C E E E C C,2531
0, E C E E E C H,501
0, E C E E E C E,89
0, E C E E E H C,0
0, E C E E E H H,97
0, E C E E E H E,0
0, E C E E E E C,2869
0, E C E E E E H,126
0, E C E E E E E,7664
0, E H C C C C C,383
0, E H C C C C H,93
0, E H C C C C E,74
0, E H C C C H C,0
0, E H C C C H H,16
0, E H C C C H E,0
0, E H C C C E C,4
0, E H C C C E H,1
0, E H C C C E E,58
0, E H C C H C C,2
0, E H C C H C H,0
0, E H C C H C E,0
0, E H C C H H C,0
0, E H C C H H H,62
0, E H C C H H E,0
0, E H C C H E C,0
0, E H C C H E H,0
0, E H C C H E E,0
0, E H C C E C C,0
0, E H C C E C H,1
0, E H C C E C E,0
0, E H C C E H C,0
0, E H C C E H H,0
0, E H C C E H E,0
0, E H C C E E C,0
0, E H C C E E H,0
0, E H C C E E E,5
0, E H C H C C C,31
0, E H C H C C H,70
0, E H C H C C E,4
0, E H C H C H C,0
0, E H C H C H H,2
0, E H C H C H E,0
0, E H C H C E C,1
0, E H C H C E H,0
0, E H C H C E E,10
0, E H C H H C C,10
0, E H C H H C H,0
0, E H C H H C E,0
0, E H C H H H C,12
0, E H C H H H H,30
0, E H C H H H E,0
0, E H C H H E C,0
0, E H C H H E H,0
0, E H C H H E E,0
0, E H C H E C C,0
0, E H C H E C H,0
0, E H C H E C E,0
0, E H C H E H C,0
0, E H C H E H H,0
0, E H C H E H E,0
0, E H C H E E C,0
0, E H C H E E H,0
0, E H C H E E E,0
0, E H C E C C C,0
0, E H C E C C H,0
0, E H C E C C E,0
0, E H C E C H C,0
0, E H C E C H H,0
0, E H C E C H E,0
0, E H C E C E C,0
0, E H C E C E H,0
0, E H C E C E E,0
0, E H C E H C C,0
0, E H C E H C H,0
0, E H C E H C E,0
0, E H C E H H C,0
0, E H C E H H H,0
0, E H C E H H E,0
0, E H C E H E C,0
0, E H C E H E H,0
0, E H C E H E E,0
0, E H C E E C C,0
0, E H C E E C H,0
0, E H C E E C E,0
0, E H C E E H C,0
0, E H C E E H H,0
0, E H C E E H E,0
0, E H C E E E C,2
0, E H C E E E H,0
0, E H C E E E E,1
0, E H H C C C C,551
0, E H H C C C H,156
0, E H H C C C E,38
0, E H H C C H C,2
0, E H H C C H H,14
0, E H H C C H E,0
0, E H H C C E C,2
0, E H H C C E H,0
0, E H H C C E E,70
0, E H H C H C C,2
0, E H H C H C H,2
0, E H H C H C E,0
0, E H H C H H C,0
0, E H H C H H H,82
0, E H H C H H E,0
0, E H H C H E C,0
0, E H H C H E H,0
0, E H H C H E E,0
0, E H H C E C C,13
0, E H H C E C H,2
0, E H H C E C E,0
0, E H H C E H C,0
0, E H H C E H H,0
0, E H H C E H E,0
0, E H H C E E C,1
0, E H H C E E H,0
0, E H H C E E E,5
0, E H H H C C C,4175
0, E H H H C C H,1099
0, E H H H C C E,165
0, E H H H C H C,8
0, E H H H C H H,239
0, E H H H C H E,0
0, E H H H C E C,25
0, E H H H C E H,0
0, E H H H C E E,291
0, E H H H H C C,3791
0, E H H H H C H,294
0, E H H H H C E,20
0, E H H H H H C,2257
0, E H H H H H H,16388
0, E H H H H H E,4
0, E H H H H E C,29
0, E H H H H E H,0
0, E H H H H E E,46
0, E H H H E C C,25
0, E H H H E C H,4
0, E H H H E C E,0
0, E H H H E H C,0
0, E H H H E H H,1
0, E H H H E H E,0
0, E H H H E E C,15
0, E H H H E E H,0
0, E H H H E E E,273
0, E H H E C C C,0
0, E H H E C C H,0
0, E H H E C C E,1
0, E H H E C H C,0
0, E H H E C H H,0
0, E H H E C H E,0
0, E H H E C E C,0
0, E H H E C E H,0
0, E H H E C E E,0
0, E H H E H C C,0
0, E H H E H C H,0
0, E H H E H C E,0
0, E H H E H H C,1
0, E H H E H H H,7
0, E H H E H H E,0
0, E H H E H E C,1
0, E H H E H E H,0
0, E H H E H E E,0
0, E H H E E C C,3
0, E H H E E C H,1
0, E H H E E C E,0
0, E H H E E H C,0
0, E H H E E H H,1
0, E H H E E H E,0
0, E H H E E E C,3
0, E H H E E E H,1
0, E H H E E E E,2
0, E H E C C C C,13
0, E H E C C C H,1
0, E H E C C C E,1
0, E H E C C H C,0
0, E H E C C H H,1
0, E H E C C H E,0
0, E H E C C E C,0
0, E H E C C E H,0
0, E H E C C E E,2
0, E H E C H C C,0
0, E H E C H C H,0
0, E H E C H C E,0
0, E H E C H H C,0
0, E H E C H H H,3
0, E H E C H H E,0
0, E H E C H E C,0
0, E H E C H E H,0
0, E H E C H E E,0
0, E H E C E C C,1
0, E H E C E C H,1
0, E H E C E C E,0
0, E H E C E H C,0
0, E H E C E H H,0
0, E H E C E H E,0
0, E H E C E E C,0
0, E H E C E E H,0
0, E H E C E E E,0
0, E H E H C C C,6
0, E H E H C C H,0
0, E H E H C C E,1
0, E H E H C H C,0
0, E H E H C H H,0
0, E H E H C H E,0
0, E H E H C E C,0
0, E H E H C E H,0
0, E H E H C E E,0
0, E H E H H C C,3
0, E H E H H C H,0
0, E H E H H C E,0
0, E H E H H H C,0
0, E H E H H H H,9
0, E H E H H H E,0
0, E H E H H E C,0
0, E H E H H E H,0
0, E H E H H E E,0
0, E H E H E C C,0
0, E H E H E C H,0
0, E H E H E C E,0
0, E H E H E H C,0
0, E H E H E H H,0
0, E H E H E H E,0
0, E H E H E E C,0
0, E H E H E E H,0
0, E H E H E E E,2
0, E H E E C C C,24
0, E H E E C C H,0
0, E H E E C C E,0
0, E H E E C H C,0
0, E H E E C H H,0
0, E H E E C H E,0
0, E H E E C E C,1
0, E H E E C E H,0
0, E H E E C E E,1
0, E H E E H C C,1
0, E H E E H C H,1
0, E H E E H C E,0
0, E H E E H H C,2
0, E H E E H H H,3
0, E H E E H H E,0
0, E H E E H E C,0
0, E H E E H E H,0
0, E H E E H E E,1
0, E H E E E C C,3
0, E H E E E C H,1
0, E H E E E C E,1
0, E H E E E H C,0
0, E H E E E H H,1
0, E H E E E H E,1
0, E H E E E E C,2
0, E H E E E E H,0
0, E H E E E E E,13
0, E E C C C C C,398350
0, E E C C C C H,46484
0, E E C C C C E,51904
0, E E C C C H C,2313
0, E E C C C H H,53618
0, E E C C C H E,59
0, E E C C C E C,2874
0, E E C C C E H,183
0, E E C C C E E,31735
0, E E C C H C C,2061
0, E E C C H C H,496
0, E E C C H C E,38
0, E E C C H H C,2695
0, E E C C H H H,64622
0, E E C C H H E,24
0, E E C C H E C,1
0, E E C C H E H,4
0, E E C C H E E,44
0, E E C C E C C,2256
0, E E C C E C H,124
0, E E C C E C E,151
0, E E C C E H C,3
0, E E C C E H H,92
0, E E C C E H E,1
0, E E C C E E C,8681
0, E E C C E E H,863
0, E E C C E E E,49953
0, E E C H C C C,1072
0, E E C H C C H,109
0, E E C H C C E,71
0, E E C H C H C,135
0, E E C H C H H,139
0, E E C H C H E,11
0, E E C H C E C,0
0, E E C H C E H,0
0, E E C H C E E,3
0, E E C H H C C,1875
0, E E C H H C H,175
0, E E C H H C E,25
0, E E C H H H C,7659
0, E E C H H H H,42416
0, E E C H H H E,193
0, E E C H H E C,1
0, E E C H H E H,1
0, E E C H H E E,43
0, E E C H E C C,0
0, E E C H E C H,0
0, E E C H E C E,0
0, E E C H E H C,0
0, E E C H E H H,0
0, E E C H E H E,0
0, E E C H E E C,1
0, E E C H E E H,0
0, E E C H E E E,10
0, E E C E C C C,2380
0, E E C E C C H,128
0, E E C E C C E,320
0, E E C E C H C,5
0, E E C E C H H,143
0, E E C E C H E,0
0, E E C E C E C,52
0, E E C E C E H,1
0, E E C E C E E,228
0, E E C E H C C,3
0, E E C E H C H,0
0, E E C E H C E,0
0, E E C E H H C,10
0, E E C E H H H,246
0, E E C E H H E,0
0, E E C E H E C,0
0, E E C E H E H,0
0, E E C E H E E,3
0, E E C E E C C,2320
0, E E C E E C H,108
0, E E C E E C E,51
0, E E C E E H C,4
0, E E C E E H H,90
0, E E C E E H E,0
0, E E C E E E C,2247
0, E E C E E E H,74
0, E E C E E E E,6814
0, E E H C C C C,447
0, E E H C C C H,16
0, E E H C C C E,58
0, E E H C C H C,1
0, E E H C C H H,60
0, E E H C C H E,0
0, E E H C C E C,1
0, E E H C C E H,0
0, E E H C C E E,3
0, E E H C H C C,101
0, E E H C H C H,2
0, E E H C H C E,11
0, E E H C H H C,2
0, E E H C H H H,32
0, E E H C H H E,0
0, E E H C H E C,0
0, E E H C H E H,0
0, E E H C H E E,0
0, E E H C E C C,0
0, E E H C E C H,0
0, E E H C E C E,0
0, E E H C E H C,0
0, E E H C E H H,0
0, E E H C E H E,0
0, E E H C E E C,0
0, E E H C E E H,0
0, E E H C E E E,1
0, E E H H C C C,662
0, E E H H C C H,10
0, E E H H C C E,67
0, E E H H C H C,4
0, E E H H C H H,78
0, E E H H C H E,0
0, E E H H C E C,6
0, E E H H C E H,0
0, E E H H C E E,5
0, E E H H H C C,4912
0, E E H H H C H,228
0, E E H H H C E,299
0, E E H H H H C,3220
0, E E H H H H H,16208
0, E E H H H H E,64
0, E E H H H E C,29
0, E E H H H E H,0
0, E E H H H E E,279
0, E E H H E C C,0
0, E E H H E C H,0
0, E E H H E C E,0
0, E E H H E H C,0
0, E E H H E H H,0
0, E E H H E H E,1
0, E E H H E E C,2
0, E E H H E E H,1
0, E E H H E E E,5
0, E E H E C C C,2
0, E E H E C C H,0
0, E E H E C C E,2
0, E E H E C H C,0
0, E E H E C H H,0
0, E E H E C H E,0
0, E E H E C E C,1
0, E E H E C E H,0
0, E E H E C E E,0
0, E E H E H C C,7
0, E E H E H C H,0
0, E E H E H C E,0
0, E E H E H H C,3
0, E E H E H H H,6
0, E E H E H H E,0
0, E E H E H E C,0
0, E E H E H E H,0
0, E E H E H E E,1
0, E E H E E C C,5
0, E E H E E C H,0
0, E E H E E C E,2
0, E E H E E H C,1
0, E E H E E H H,2
0, E E H E E H E,1
0, E E H E E E C,0
0, E E H E E E H,1
0, E E H E E E E,7
0, E E E C C C C,450445
0, E E E C C C H,50830
0, E E E C C C E,31498
0, E E E C C H C,2442
0, E E E C C H H,60719
0, E E E C C H E,48
0, E E E C C E C,2244
0, E E E C C E H,85
0, E E E C C E E,54643
0, E E E C H C C,1176
0, E E E C H C H,269
0, E E E C H C E,3
0, E E E C H H C,1823
0, E E E C H H H,43589
0, E E E C H H E,37
0, E E E C H E C,0
0, E E E C H E H,0
0, E E E C H E E,10
0, E E E C E C C,2364
0, E E E C E C H,83
0, E E E C E C E,155
0, E E E C E H C,1
0, E E E C E H H,135
0, E E E C E H E,0
0, E E E C E E C,2166
0, E E E C E E H,66
0, E E E C E E E,7566
0, E E E H C C C,407
0, E E E H C C H,58
0, E E E H C C E,2
0, E E E H C H C,113
0, E E E H C H H,25
0, E E E H C H E,0
0, E E E H C E C,0
0, E E E H C E H,0
0, E E E H C E E,0
0, E E E H H C C,637
0, E E E H H C H,74
0, E E E H H C E,7
0, E E E H H H C,5012
0, E E E H H H H,16787
0, E E E H H H E,295
0, E E E H H E C,0
0, E E E H H E H,0
0, E E E H H E E,5
0, E E E H E C C,3
0, E E E H E C H,0
0, E E E H E C E,0
0, E E E H E H C,2
0, E E E H E H H,9
0, E E E H E H E,1
0, E E E H E E C,7
0, E E E H E E H,4
0, E E E H E E E,4
0, E E E E C C C,460709
0, E E E E C C H,52931
0, E E E E C C E,48643
0, E E E E C H C,1254
0, E E E E C H H,37933
0, E E E E C H E,10
0, E E E E C E C,2191
0, E E E E C E H,55
0, E E E E C E E,7674
0, E E E E H C C,439
0, E E E E H C H,135
0, E E E E H C E,0
0, E E E E H H C,637
0, E E E E H H H,17924
0, E E E E H H E,2
0, E E E E H E C,3
0, E E E E H E H,8
0, E E E E H E E,10
0, E E E E E C C,416098
0, E E E E E C H,25583
0, E E E E E C E,7258
0, E E E E E H C,465
0, E E E E E H H,14413
0, E E E E E H E,13
0, E E E E E E C,281700
0, E E E E E E H,9217
0, E E E E E E E,176262
0, C C C C C C C C,527178
0, C C C C C C C H,263660
0, C C C C C C C E,206447
0, C C C C C C H C,11150
0, C C C C C C H H,332983
0, C C C C C C H E,341
0, C C C C C C E C,23697
0, C C C C C C E H,1652
0, C C C C C C E E,251751
0, C C C C C H C C,12179
0, C C C C C H C H,1970
0, C C C C C H C E,276
0, C C C C C H H C,12979
0, C C C C C H H H,415677
0, C C C C C H H E,316
0, C C C C C H E C,35
0, C C C C C H E H,16
0, C C C C C H E E,356
0, C C C C C E C C,27775
0, C C C C C E C H,4043
0, C C C C C E C E,2887
0, C C C C C E H C,74
0, C C C C C E H H,2113
0, C C C C C E H E,17
0, C C C C C E E C,33223
0, C C C C C E E H,1499
0, C C C C C E E E,338321
0, C C C C H C C C,12973
0, C C C C H C C H,1384
0, C C C C H C C E,708
0, C C C C H C H C,977
0, C C C C H C H H,1561
0, C C C C H C H E,75
0, C C C C H C E C,37
0, C C C C H C E H,1
0, C C C C H C E E,337
0, C C C C H H C C,14502
0, C C C C H H C H,1012
0, C C C C H H C E,880
0, C C C C H H H C,44835
0, C C C C H H H H,478546
0, C C C C H H H E,4133
0, C C C C H H E C,48
0, C C C C H H E H,16
0, C C C C H H E E,367
0, C C C C H E C C,34
0, C C C C H E C H,2
0, C C C C H E C E,10
0, C C C C H E H C,2
0, C C C C H E H H,17
0, C C C C H E H E,0
0, C C C C H E E C,69
0, C C C C H E E H,2
0, C C C C H E E E,394
0, C C C C E C C C,26541
0, C C C C E C C H,4293
0, C C C C E C C E,2450
0, C C C C E C H C,86
0, C C C C E C H H,4493
0, C C C C E C H E,0
0, C C C C E C E C,525
0, C C C C E C E H,61
0, C C C C E C E E,3377
0, C C C C E H C C,60
0, C C C C E H C H,13
0, C C C C E H C E,2
0, C C C C E H H C,67
0, C C C C E H H H,2673
0, C C C C E H H E,3
0, C C C C E H E C,9
0, C C C C E H E H,3
0, C C C C E H E E,8
0, C C C C E E C C,41596
0, C C C C E E C H,4635
0, C C C C E E C E,1831
0, C C C C E E H C,102
0, C C C C E E H H,1664
0, C C C C E E H E,8
0, C C C C E E E C,63603
0, C C C C E E E H,3254
0, C C C C E E E E,415418
0, C C C H C C C C,13429
0, C C C H C C C H,1445
0, C C C H C C C E,1238
0, C C C H C C H C,96
0, C C C H C C H H,1538
0, C C C H C C H E,1
0, C C C H C C E C,117
0, C C C H C C E H,3
0, C C C H C C E E,825
0, C C C H C H C C,1161
0, C C C H C H C H,82
0, C C C H C H C E,139
0, C C C H C H H C,248
0, C C C H C H H H,1740
0, C C C H C H H E,8
0, C C C H C H E C,2
0, C C C H C H E H,0
0, C C C H C H E E,97
0, C C C H C E C C,35
0, C C C H C E C H,2
0, C C C H C E C E,3
0, C C C H C E H C,0
0, C C C H C E H H,1
0, C C C H C E H E,0
0, C C C H C E E C,35
0, C C C H C E E H,0
0, C C C H C E E E,369
0, C C C H H C C C,15340
0, C C C H H C C H,1399
0, C C C H H C C E,1121
0, C C C H H C H C,121
0, C C C H H C H H,1132
0, C C C H H C H E,1
0, C C C H H C E C,196
0, C C C H H C E H,0
0, C C C H H C E E,934
0, C C C H H H C C,51434
0, C C C H H H C H,3763
0, C C C H H H C E,3873
0, C C C H H H H C,32694
0, C C C H H H H H,546255
0, C C C H H H H E,828
0, C C C H H H E C,499
0, C C C H H H E H,5
0, C C C H H H E E,6370
0, C C C H H E C C,52
0, C C C H H E C H,0
0, C C C H H E C E,2
0, C C C H H E H C,1
0, C C C H H E H H,15
0, C C C H H E H E,12
0, C C C H H E E C,87
0, C C C H H E E H,3
0, C C C H H E E E,348
0, C C C H E C C C,33
0, C C C H E C C H,3
0, C C C H E C C E,1
0, C C C H E C H C,0
0, C C C H E C H H,2
0, C C C H E C H E,0
0, C C C H E C E C,8
0, C C C H E C E H,0
0, C C C H E C E E,6
0, C C C H E H C C,3
0, C C C H E H C H,0
0, C C C H E H C E,0
0, C C C H E H H C,1
0, C C C H E H H H,18
0, C C C H E H H E,8
0, C C C H E H E C,0
0, C C C H E H E H,0
0, C C C H E H E E,0
0, C C C H E E C C,80
0, C C C H E E C H,3
0, C C C H E E C E,0
0, C C C H E E H C,0
0, C C C H E E H H,3
0, C C C H E E H E,0
0, C C C H E E E C,119
0, C C C H E E E H,1
0, C C C H E E E E,414
0, C C C E C C C C,27542
0, C C C E C C C H,2296
0, C C C E C C C E,1619
0, C C C E C C H C,118
0, C C C E C C H H,4668
0, C C C E C C H E,0
0, C C C E C C E C,270
0, C C C E C C E H,27
0, C C C E C C E E,2699
0, C C C E C H C C,69
0, C C C E C H C H,26
0, C C C E C H C E,1
0, C C C E C H H C,79
0, C C C E C H H H,4809
0, C C C E C H H E,0
0, C C C E C H E C,0
0, C C C E C H E H,0
0, C C C E C H E E,0
0, C C C E C E C C,479
0, C C C E C E C H,38
0, C C C E C E C E,92
0, C C C E C E H C,1
0, C C C E C E H H,60
0, C C C E C E H E,1
0, C C C E C E E C,523
0, C C C E C E E H,7
0, C C C E C E E E,3565
0, C C C E H C C C,80
0, C C C E H C C H,2
0, C C C E H C C E,1
0, C C C E H C H C,3
0, C C C E H C H H,11
0, C C C E H C H E,0
0, C C C E H C E C,0
0, C C C E H C E H,0
0, C C C E H C E E,2
0, C C C E H H C C,68
0, C C C E H H C H,0
0, C C C E H H C E,0
0, C C C E H H H C,402
0, C C C E H H H H,2843
0, C C C E H H H E,3
0, C C C E H H E C,0
0, C C C E H H E H,2
0, C C C E H H E E,1
0, C C C E H E C C,9
0, C C C E H E C H,0
0, C C C E H E C E,0
0, C C C E H E H C,0
0, C C C E H E H H,2
0, C C C E H E H E,1
0, C C C E H E E C,6
0, C C C E H E E H,1
0, C C C E H E E E,7
0, C C C E E C C C,42987
0, C C C E E C C H,5255
0, C C C E E C C E,3133
0, C C C E E C H C,71
0, C C C E E C H H,5450
0, C C C E E C H E,1
0, C C C E E C E C,495
0, C C C E E C E H,123
0, C C C E E C E E,1500
0, C C C E E H C C,101
0, C C C E E H C H,8
0, C C C E E H C E,1
0, C C C E E H H C,98
0, C C C E E H H H,1816
0, C C C E E H H E,1
0, C C C E E H E C,2
0, C C C E E H E H,5
0, C C C E E H E E,2
0, C C C E E E C C,71222
0, C C C E E E C H,5696
0, C C C E E E C E,1923
0, C C C E E E H C,25
0, C C C E E E H H,3996
0, C C C E E E H E,4
0, C C C E E E E C,137085
0, C C C E E E E H,3342
0, C C C E E E E E,378627
0, C C H C C C C C,11448
0, C C H C C C C H,3329
0, C C H C C C C E,1096
0, C C H C C C H C,78
0, C C H C C C H H,1596
0, C C H C C C H E,4
0, C C H C C C E C,86
0, C C H C C C E H,9
0, C C H C C C E E,1231
0, C C H C C H C C,76
0, C C H C C H C H,10
0, C C H C C H C E,16
0, C C H C C H H C,44
0, C C H C C H H H,1833
0, C C H C C H H E,1
0, C C H C C H E C,0
0, C C H C C H E H,0
0, C C H C C H E E,1
0, C C H C C E C C,78
0, C C H C C E C H,8
0, C C H C C E C E,47
0, C C H C C E H C,0
0, C C H C C E H H,4
0, C C H C C E H E,1
0, C C H C C E E C,115
0, C C H C C E E H,0
0, C C H C C E E E,826
0, C C H C H C C C,1188
0, C C H C H C C H,312
0, C C H C H C C E,85
0, C C H C H C H C,13
0, C C H C H C H H,83
0, C C H C H C H E,0
0, C C H C H C E C,13
0, C C H C H C E H,0
0, C C H C H C E E,201
0, C C H C H H C C,295
0, C C H C H H C H,13
0, C C H C H H C E,2
0, C C H C H H H C,285
0, C C H C H H H H,1864
0, C C H C H H H E,4
0, C C H C H H E C,0
0, C C H C H H E H,4
0, C C H C H H E E,8
0, C C H C H E C C,4
0, C C H C H E C H,0
0, C C H C H E C E,0
0, C C H C H E H C,0
0, C C H C H E H H,0
0, C C H C H E H E,0
0, C C H C H E E C,4
0, C C H C H E E H,0
0, C C H C H E E E,179
0, C C H C E C C C,54
0, C C H C E C C H,2
0, C C H C E C C E,2
0, C C H C E C H C,0
0, C C H C E C H H,2
0, C C H C E C H E,0
0, C C H C E C E C,0
0, C C H C E C E H,0
0, C C H C E C E E,3
0, C C H C E H C C,0
0, C C H C E H C H,0
0, C C H C E H C E,0
0, C C H C E H H C,0
0, C C H C E H H H,1
0, C C H C E H H E,0
0, C C H C E H E C,0
0, C C H C E H E H,0
0, C C H C E H E E,0
0, C C H C E E C C,29
0, C C H C E E C H,2
0, C C H C E E C E,5
0, C C H C E E H C,0
0, C C H C E E H H,0
0, C C H C E E H E,0
0, C C H C E E E C,87
0, C C H C E E E H,2
0, C C H C E E E E,310
0, C C H H C C C C,14859
0, C C H H C C C H,2642
0, C C H H C C C E,1473
0, C C H H C C H C,88
0, C C H H C C H H,1586
0, C C H H C C H E,0
0, C C H H C C E C,111
0, C C H H C C E H,2
0, C C H H C C E E,1177
0, C C H H C H C C,116
0, C C H H C H C H,16
0, C C H H C H C E,12
0, C C H H C H H C,70
0, C C H H C H H H,1392
0, C C H H C H H E,2
0, C C H H C H E C,0
0, C C H H C H E H,0
0, C C H H C H E E,1
0, C C H H C E C C,198
0, C C H H C E C H,11
0, C C H H C E C E,8
0, C C H H C E H C,0
0, C C H H C E H H,1
0, C C H H C E H E,0
0, C C H H C E E C,52
0, C C H H C E E H,1
0, C C H H C E E E,1051
0, C C H H H C C C,48470
0, C C H H H C C H,10501
0, C C H H H C C E,6446
0, C C H H H C H C,210
0, C C H H H C H H,4577
0, C C H H H C H E,7
0, C C H H H C E C,515
0, C C H H H C E H,6
0, C C H H H C E E,4163
0, C C H H H H C C,37432
0, C C H H H H C H,2322
0, C C H H H H C E,913
0, C C H H H H H C,31775
0, C C H H H H H H,614149
0, C C H H H H H E,432
0, C C H H H H E C,224
0, C C H H H H E H,7
0, C C H H H H E E,766
0, C C H H H E C C,392
0, C C H H H E C H,3
0, C C H H H E C E,248
0, C C H H H E H C,2
0, C C H H H E H H,4
0, C C H H H E H E,0
0, C C H H H E E C,320
0, C C H H H E E H,6
0, C C H H H E E E,6901
0, C C H H E C C C,52
0, C C H H E C C H,4
0, C C H H E C C E,1
0, C C H H E C H C,0
0, C C H H E C H H,0
0, C C H H E C H E,0
0, C C H H E C E C,1
0, C C H H E C E H,0
0, C C H H E C E E,1
0, C C H H E H C C,1
0, C C H H E H C H,0
0, C C H H E H C E,0
0, C C H H E H H C,1
0, C C H H E H H H,17
0, C C H H E H H E,0
0, C C H H E H E C,1
0, C C H H E H E H,1
0, C C H H E H E E,10
0, C C H H E E C C,87
0, C C H H E E C H,0
0, C C H H E E C E,5
0, C C H H E E H C,0
0, C C H H E E H H,3
0, C C H H E E H E,0
0, C C H H E E E C,116
0, C C H H E E E H,3
0, C C H H E E E E,276
0, C C H E C C C C,31
0, C C H E C C C H,3
0, C C H E C C C E,0
0, C C H E C C H C,0
0, C C H E C C H H,3
0, C C H E C C H E,0
0, C C H E C C E C,1
0, C C H E C C E H,0
0, C C H E C C E E,0
0, C C H E C H C C,0
0, C C H E C H C H,0
0, C C H E C H C E,0
0, C C H E C H H C,0
0, C C H E C H H H,1
0, C C H E C H H E,1
0, C C H E C H E C,0
0, C C H E C H E H,0
0, C C H E C H E E,0
0, C C H E C E C C,7
0, C C H E C E C H,0
0, C C H E C E C E,1
0, C C H E C E H C,0
0, C C H E C E H H,0
0, C C H E C E H E,0
0, C C H E C E E C,2
0, C C H E C E E H,0
0, C C H E C E E E,5
0, C C H E H C C C,2
0, C C H E H C C H,1
0, C C H E H C C E,0
0, C C H E H C H C,0
0, C C H E H C H H,0
0, C C H E H C H E,0
0, C C H E H C E C,0
0, C C H E H C E H,0
0, C C H E H C E E,0
0, C C H E H H C C,1
0, C C H E H H C H,0
0, C C H E H H C E,0
0, C C H E H H H C,2
0, C C H E H H H H,22
0, C C H E H H H E,0
0, C C H E H H E C,1
0, C C H E H H E H,6
0, C C H E H H E E,1
0, C C H E H E C C,0
0, C C H E H E C H,0
0, C C H E H E C E,0
0, C C H E H E H C,0
0, C C H E H E H H,0
0, C C H E H E H E,0
0, C C H E H E E C,0
0, C C H E H E E H,0
0, C C H E H E E E,0
0, C C H E E C C C,75
0, C C H E E C C H,3
0, C C H E E C C E,6
0, C C H E E C H C,0
0, C C H E E C H H,3
0, C C H E E C H E,0
0, C C H E E C E C,0
0, C C H E E C E H,0
0, C C H E E C E E,0
0, C C H E E H C C,0
0, C C H E E H C H,0
0, C C H E E H C E,0
0, C C H E E H H C,1
0, C C H E E H H H,2
0, C C H E E H H E,0
0, C C H E E H E C,0
0, C C H E E H E H,0
0, C C H E E H E E,0
0, C C H E E E C C,125
0, C C H E E E C H,3
0, C C H E E E C E,4
0, C C H E E E H C,0
0, C C H E E E H H,1
0, C C H E E E H E,0
0, C C H E E E E C,183
0, C C H E E E E H,3
0, C C H E E E E E,251
0, C C E C C C C C,26003
0, C C E C C C C H,2637
0, C C E C C C C E,2486
0, C C E C C C H C,91
0, C C E C C C H H,2366
0, C C E C C C H E,0
0, C C E C C C E C,265
0, C C E C C C E H,7
