,A,B
0, E H H C E,21
0, E H H H C,6006
0, E H H H H,22845
0, E H H H E,317
0, E H H E C,1
0, E H H E H,9
0, E H H E E,12
0, E H E C C,18
0, E H E C H,3
0, E H E C E,2
0, E H E H C,7
0, E H E H H,12
0, E H E H E,2
0, E H E E C,26
0, E H E E H,8
0, E H E E E,22
0, E E C C C,595191
0, E E C C H,69987
0, E E C C E,62595
0, E E C H C,1540
0, E E C H H,52397
0, E E C H E,11
0, E E C E C,3259
0, E E C E H,262
0, E E C E E,11673
0, E E H C C,586
0, E E H C H,148
0, E E H C E,1
0, E E H H C,832
0, E E H H H,25241
0, E E H H E,9
0, E E H E C,5
0, E E H E H,17
0, E E H E E,18
0, E E E C C,657455
0, E E E C H,46908
0, E E E C E,12503
0, E E E H C,605
0, E E E H H,22817
0, E E E H E,30
0, E E E E C,615893
0, E E E E H,19158
0, E E E E E,501873
0, C C C C C C,940526
0, C C C C C H,444135
0, C C C C C E,411893
0, C C C C H C,18180
0, C C C C H H,545086
0, C C C C H E,530
0, C C C C E C,43180
0, C C C C E H,2838
0, C C C C E E,535669
0, C C C H C C,18783
0, C C C H C H,3490
0, C C C H C E,445
0, C C C H H C,20425
0, C C C H H H,646941
0, C C C H H E,520
0, C C C H E C,53
0, C C C H E H,30
0, C C C H E E,620
0, C C C E C C,40637
0, C C C E C H,4984
0, C C C E C E,4768
0, C C C E H C,99
0, C C C E H H,3319
0, C C C E H E,26
0, C C C E E C,62230
0, C C C E E H,2034
0, C C C E E E,604024
0, C C H C C C,18970
0, C C H C C H,1977
0, C C H C C E,1079
0, C C H C H C,1909
0, C C H C H H,2475
0, C C H C H E,187
0, C C H C E C,64
0, C C H C E H,1
0, C C H C E E,457
0, C C H H C C,22042
0, C C H H C H,1609
0, C C H H C E,1323
0, C C H H H C,74851
0, C C H H H H,688647
0, C C H H H E,7882
0, C C H H E C,59
0, C C H H E H,31
0, C C H H E E,491
0, C C H E C C,38
0, C C H E C H,2
0, C C H E C E,15
0, C C H E H C,3
0, C C H E H H,33
0, C C H E H E,0
0, C C H E E C,87
0, C C H E E H,3
0, C C H E E E,603
0, C C E C C C,36506
0, C C E C C H,5188
0, C C E C C E,3377
0, C C E C H C,103
0, C C E C H H,5112
0, C C E C H E,0
0, C C E C E C,720
0, C C E C E H,65
0, C C E C E E,4483
0, C C E H C C,85
0, C C E H C H,15
0, C C E H C E,2
0, C C E H H C,82
0, C C E H H H,3467
0, C C E H H E,5
0, C C E H E C,11
0, C C E H E H,3
0, C C E H E E,18
0, C C E E C C,65017
0, C C E E C H,6665
0, C C E E C E,2498
0, C C E E H C,117
0, C C E E H H,3036
0, C C E E H E,9
0, C C E E E C,91268
0, C C E E E H,4119
0, C C E E E E,603355
0, C H C C C C,19608
0, C H C C C H,1976
0, C H C C C E,1724
0, C H C C H C,113
0, C H C C H H,2587
0, C H C C H E,1
0, C H C C E C,157
0, C H C C E H,11
0, C H C C E E,1478
0, C H C H C C,1952
0, C H C H C H,125
0, C H C H C E,230
0, C H C H H C,352
0, C H C H H H,2613
0, C H C H H E,13
0, C H C H E C,12
0, C H C H E H,0
0, C H C H E E,284
0, C H C E C C,90
0, C H C E C H,3
0, C H C E C E,3
0, C H C E H C,0
0, C H C E H H,1
0, C H C E H E,0
0, C H C E E C,74
0, C H C E E H,3
0, C H C E E E,630
0, C H H C C C,22683
0, C H H C C H,1984
0, C H H C C E,1450
0, C H H C H C,160
0, C H H C H H,1781
0, C H H C H E,2
0, C H H C E C,229
0, C H H C E H,2
0, C H H C E E,1469
0, C H H H C C,77855
0, C H H H C H,5336
0, C H H H C E,5202
0, C H H H H C,50113
0, C H H H H H,722663
0, C H H H H E,1117
0, C H H H E C,742
0, C H H H E H,6
0, C H H H E E,8585
0, C H H E C C,71
0, C H H E C H,0
0, C H H E C E,2
0, C H H E H C,5
0, C H H E H H,20
0, C H H E H E,12
0, C H H E E C,114
0, C H H E E H,9
0, C H H E E E,469
0, C H E C C C,38
0, C H E C C H,3
0, C H E C C E,1
0, C H E C H C,0
0, C H E C H H,2
0, C H E C H E,0
0, C H E C E C,8
0, C H E C E H,0
0, C H E C E E,15
0, C H E H C C,3
0, C H E H C H,0
0, C H E H C E,0
0, C H E H H C,1
0, C H E H H H,24
0, C H E H H E,8
0, C H E H E C,0
0, C H E H E H,0
0, C H E H E E,0
0, C H E E C C,115
0, C H E E C H,3
0, C H E E C E,1
0, C H E E H C,0
